POA_CODE,strokes
POA3464,3.73
POA3465,50.69
POA3467,5.91
POA3468,1.37
POA3469,1.42
POA3472,7.51
POA3475,1.75
POA3477,3.01
POA3478,14.13
POA3480,11.15
POA3482,0.85
POA3483,4.45
POA3485,1.39
POA3487,0.2
POA3488,0.33
POA3489,0.17
POA3490,7.81
POA3491,0.71
POA3494,1.27
POA3496,21.85
POA3498,16.76
POA3500,119.61
POA3501,4.59
POA3505,17.86
POA3506,0.13
POA3507,0.59
POA3509,1.22
POA3512,1.43
POA3515,3.61
POA3516,2.82
POA3517,7.45
POA3518,6.39
POA3520,1.09
POA3521,1.75
POA3522,1.05
POA3523,19.07
POA3525,8.0
POA3527,5.42
POA3529,0.24
POA3530,0.53
POA3531,0.99
POA3533,4.1
POA3537,6.48
POA3540,1.43
POA3542,0.9
POA3544,0.79
POA3546,1.99
POA3549,10.15
POA3550,159.31
POA3551,63.22
POA3555,81.76
POA3556,42.13
POA3557,1.97
POA3558,4.76
POA3559,2.08
POA3561,20.63
POA3562,0.67
POA3563,3.09
POA3564,64.51
POA3565,0.34
POA3566,1.98
POA3567,2.81
POA3568,16.02
POA3570,2.49
POA3571,1.14
POA3572,0.3
POA3573,0.87
POA3575,3.72
POA3576,0.16
POA3579,27.03
POA3580,4.28
POA3581,0.43
POA3583,0.41
POA3584,3.92
POA3585,45.37
POA3586,1.61
POA3588,1.11
POA3589,1.22
POA3590,0.74
POA3591,0.45
POA3594,2.04
POA3595,3.45
POA3596,0.27
POA3597,1.41
POA3599,0.61
POA3607,0.26
POA3608,12.12
POA3610,7.27
POA3612,8.84
POA3614,1.71
POA3616,21.07
POA3617,0.34
POA3618,1.79
POA3620,37.58
POA3621,9.48
POA3622,1.27
POA3623,4.19
POA3624,1.93
POA3629,32.46
POA3630,106.54
POA3631,33.5
POA3633,1.54
POA3634,4.71
POA3635,1.37
POA3636,24.1
POA3637,1.44
POA3638,9.96
POA3639,2.35
POA3640,2.06
POA3641,3.18
POA3644,41.21
POA3646,1.85
POA3647,0.01
POA3649,1.58
POA3658,17.07
POA3659,2.45
POA3660,30.81
POA3662,0.3
POA3663,0.53
POA3664,3.81
POA3665,1.22
POA3666,25.61
POA3669,7.6
POA3670,1.83
POA3672,55.03
POA3673,5.82
POA3675,5.66
POA3677,87.01
POA3678,21.48
POA3682,1.85
POA3683,6.17
POA3685,11.38
POA3687,3.86
POA3688,3.08
POA3690,98.05
POA3691,25.91
POA3694,0.02
POA3695,1.28
POA3697,2.24
POA3698,3.89
POA3699,4.29
POA3700,6.19
POA3701,4.21
POA3704,0.09
POA3705,0.86
POA3707,10.29
POA3708,0.43
POA3709,1.44
POA3711,2.07
POA3712,1.71
POA3713,6.49
POA3714,18.04
POA3715,1.21
POA3717,12.23
POA3718,0.46
POA3719,1.67
POA3720,2.25
POA3722,21.65
POA3723,10.35
POA3725,2.2
POA3726,1.59
POA3727,1.13
POA3728,2.37
POA3730,47.66
POA3732,2.16
POA3733,0.79
POA3735,2.54
POA3737,21.8
POA3738,0.47
POA3739,0.56
POA3740,3.79
POA3741,14.26
POA3744,1.47
POA3746,1.56
POA3747,19.34
POA3749,8.3
POA3750,8.72
POA3751,1.24
POA3752,47.49
POA3753,3.06
POA3754,45.24
POA3755,0.96
POA3756,20.25
POA3757,26.63
POA3758,4.24
POA3759,2.82
POA3760,0.76
POA3761,2.85
POA3762,0.66
POA3763,2.98
POA3764,29.41
POA3765,25.73
POA3766,3.05
POA3767,4.44
POA3770,8.48
POA3775,11.04
POA3777,38.93
POA3778,0.59
POA3779,1.76
POA3781,7.84
POA3782,22.25
POA3783,5.29
POA3785,0.21
POA3786,4.18
POA3787,2.88
POA3788,4.53
POA3789,1.0
POA3791,3.62
POA3792,2.87
POA3793,10.55
POA3795,4.17
POA3796,22.01
POA3797,12.62
POA3799,18.2
POA3800,0.19
POA3802,61.07
POA3803,30.14
POA3804,22.85
POA3805,101.87
POA3806,123.09
POA3807,14.65
POA3808,8.03
POA3809,8.51
POA3810,103.59
POA3812,6.17
POA3813,2.32
POA3814,6.2
POA3815,9.38
POA3816,6.83
POA3818,54.02
POA3820,61.33
POA3821,8.44
POA3822,2.62
POA3823,5.98
POA3824,18.83
POA3825,80.14
POA3831,7.26
POA3832,0.91
POA3833,1.39
POA3835,1.31
POA3840,64.31
POA3842,12.9
POA3844,93.15
POA3847,6.47
POA3850,55.57
POA3851,18.05
POA3852,0.06
POA3854,2.95
POA3856,1.86
POA3857,0.9
POA3858,11.99
POA3859,2.59
POA3860,26.41
POA3862,10.16
POA3864,0.68
POA3865,1.67
POA3869,4.64
POA3870,4.44
POA3871,10.97
POA3873,0.92
POA3874,2.41
POA3875,82.04
POA3878,5.39
POA3880,28.37
POA3882,4.77
POA3885,6.16
POA3886,1.14
POA3887,1.08
POA3888,16.95
POA3889,0.89
POA3890,1.04
POA3891,0.74
POA3892,6.17
POA3893,0.08
POA3895,0.93
POA3896,1.39
POA3898,2.34
POA3900,0.81
POA3902,1.82
POA3903,3.24
POA3904,7.37
POA3909,40.76
POA3910,51.66
POA3911,8.58
